trade_date,ts_code,TOS,INTER,GFP,PIS,NEXP,FISCAL,M2,category,month,week,category_id
2011-09-30,通用设备制造业,11.8591942281783,11.8607994357881,13.306927393739,12.2711550723132,-79.9436892711591,22.3862454245276,13.3537423453053,工业,9,39,0
2011-10-31,通用设备制造业,10.7229434284068,10.6960017842805,14.0503873437962,13.1815070482157,-84.2712645308879,20.3677065798145,12.9929777877854,工业,10,44,0
2011-11-30,通用设备制造业,9.44194939573775,9.40367076156707,14.8886881523079,15.4145102648781,-90.9060298295158,18.6302651771631,12.8060248197892,工业,11,48,0
2011-12-31,通用设备制造业,8.05971037621684,8.03684307914732,15.2823819252861,18.074694551415,-101.604867624391,17.2815920737922,12.7887216107506,工业,12,52,0
2012-01-31,通用设备制造业,7.14187462235593,7.14841185982209,15.4710986606637,19.9204885555194,-117.862389460594,16.3501497604811,12.8634443783359,工业,1,5,0
2012-02-29,通用设备制造业,7.00660657491341,7.03227091661454,15.8328205140992,20.8248250421146,-138.734853594095,15.7719168152882,12.9644777517891,工业,2,9,0
2012-03-31,通用设备制造业,7.09360795612535,7.12569135200094,16.6209953730094,20.8078824907598,-161.476149925091,15.44606572428,13.0646789396248,工业,3,13,0
2012-04-30,通用设备制造业,6.68716838698636,6.71995706152735,18.1453851028762,19.9529333448159,-185.24125477188,15.2687049313664,13.1915450101591,工业,4,18,0
2012-05-31,通用设备制造业,6.10716014705928,6.11185987882494,20.4117360010464,18.6496877247307,-210.951530997188,15.0008034191493,13.3727879283691,工业,5,22,0
2012-06-30,通用设备制造业,5.71869624725002,5.69678522611359,22.9589000146698,17.5927588947409,-240.683389435971,14.5559650619698,13.5761718535533,工业,6,26,0
2012-07-31,通用设备制造业,5.72760575056256,5.70334156440804,24.990946158529,17.3514832923514,-277.533030104669,14.0084440701864,13.7522061054842,工业,7,31,0
2012-08-31,通用设备制造业,6.16104354026531,6.16133866813526,26.0003184476707,17.6773640113943,-328.382084763935,13.4229210006856,13.9003030029998,工业,8,35,0
2012-09-30,通用设备制造业,6.68779288024395,6.70743619226841,25.6447578188764,18.1130829849737,-400.282982156084,12.8084231231924,14.0647509221324,工业,9,39,0
2012-10-31,通用设备制造业,6.79149284187567,6.81247160897711,23.9440789922448,18.4480719953494,-534.544045418265,12.1836734946643,14.2557139289176,工业,10,44,0
